n,p030,p040,p045,p048,p049
198,2.8251207013187707,4.2079278721414575,6.893283530262881,14.699730159763538,27.018472418448443
199,2.8251207013187707,4.2079278721414575,6.89328353069838,14.699884570931559,27.027632096285913
200,2.825120701318771,4.2079278721414575,6.893283531090328,14.700032805590553,27.036608518693036
201,2.825120701318771,4.2079278721414575,6.893283531443082,14.700175110805773,27.045405353269278
202,2.8251207013187707,4.2079278721414575,6.89328353176056,14.700311723759476,27.05402619416107
203,2.8251207013187707,4.207927872141457,6.893283532046292,14.700442872146267,27.062474563534987
204,2.8251207013187707,4.2079278721414575,6.89328353230345,14.700568774552647,27.070753913021306
205,2.8251207013187702,4.207927872141458,6.893283532534891,14.700689640821356,27.07886762512859
206,2.8251207013187702,4.2079278721414575,6.8932835327431885,14.700805672401149,27.086819014629725
207,2.82512070131877,4.2079278721414575,6.893283532930655,14.700917062682576,27.094611329920163
208,2.8251207013187702,4.2079278721414575,6.893283533099378,14.70102399732033,27.102247754348802
209,2.8251207013187702,4.2079278721414575,6.893283533251227,14.7011266545427,27.10973140752217
210,2.8251207013187702,4.207927872141457,6.893283533387891,14.701225205448642,27.117065346582294
211,2.8251207013187702,4.2079278721414575,6.893283533510888,14.701319814292972,27.124252567459
212,2.82512070131877,4.2079278721414575,6.893283533621586,14.701410638760148,27.131296006096957
213,2.82512070131877,4.2079278721414575,6.893283533721215,14.701497830227087,27.138198539658102
214,2.8251207013187694,4.2079278721414575,6.89328353381088,14.701581534015489,27.14496298769989
215,2.8251207013187694,4.2079278721414575,6.893283533891578,14.701661889634051,27.15159211332989
216,2.825120701318769,4.2079278721414575,6.893283533964208,14.701739031011003,27.158088624337157
217,2.825120701318769,4.2079278721414575,6.893283534029573,14.701813086717333,27.16445517430093
218,2.825120701318769,4.2079278721414575,6.893283534088402,14.70188418018108,27.170694363676972
219,2.8251207013187685,4.2079278721414575,6.893283534141349,14.70195242989308,27.1768087408622
220,2.825120701318769,4.207927872141457,6.893283534189001,14.702017949604427,27.182800803237853
221,2.8251207013187685,4.2079278721414575,6.893283534231887,14.702080848516108,27.18867299819175
222,2.825120701318769,4.2079278721414575,6.893283534270486,14.702141231460987,27.19442772412001
223,2.8251207013187685,4.2079278721414575,6.893283534305224,14.702199199078548,27.200067331408697
224,2.8251207013187685,4.2079278721414575,6.893283534336488,14.702254847982628,27.205594123395688
225,2.8251207013187685,4.2079278721414575,6.893283534364626,14.702308270922458,27.211010357313313
226,2.8251207013187685,4.2079278721414575,6.89328353438995,14.702359556937237,27.216318245212005
227,2.825120701318768,4.2079278721414575,6.893283534412742,14.702408791504554,27.221519954865464
228,2.8251207013187685,4.2079278721414575,6.8932835344332535,14.70245605668285,27.226617610657655
229,2.8251207013187685,4.2079278721414575,6.893283534451715,14.702501431248177,27.231613294451943
230,2.8251207013187685,4.2079278721414575,6.89328353446833,14.702544990825512,27.23650904644288
231,2.825120701318769,4.2079278721414575,6.893283534483284,14.702586808014798,27.241306865990833
232,2.825120701318769,4.2079278721414575,6.893283534496741,14.702626952511947,27.246008712439885
